编号,短信内容（法语）,"标签(1=垃圾,0=正常)",类别,备注
FR0272,Santa Calling! Vos enfants aimeraient-ils un appel de la veille de Santa Xmas? Appelez 09058094583 pour réserver votre temps.,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0273,Comment oses-tu changer ma bague?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0274,"Oui, il y avait beaucoup de bonbons.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0275,Félicitations pour avoir reçu une offre de CD de Virgin Records ou un Mystery Gift GARANTIED Appeler 09061104283 Ts&Cs www.smsco.net £1.50pm environ 3mins,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0276,Juz ne s'est pas réveillé si flou... que papa est sorti de liao... je ne sais pas cum maintenant oso...,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0277,85233 GRATUIT>Ringtone!Répondre RÉEL,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0278,Relisez-le et je n'ai pas de honte mais dites-moi comment il le prend et s'il court je blâmerai u 4 jamais!! Pas vraiment 4 jamais juste un long laps de temps,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0279,Voulez-vous 750 à tout moment n'importe quel réseau mins 150 texte et un nouveau téléphone vidéo pour seulement cinq livres par semaine appeler 08000776320 maintenant ou répondre à la livraison Demain,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0280,"Notre service de rencontre a été demandé 2 contact U par quelqu'un de timide! CALL 09058091870 MAINTENANT tout sera révélé. POBox84, M26 3UZ 150p",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0281,C'est tout ce qu'il y a de mieux avec ça.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0282,Avait votre mobile 11mths? Mise à jour gratuite aux derniers appareils photo couleur Oranges et appels illimités week-end. Appelez Mobile Upd8 sur freefone 08000839402 ou 2StopTx,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0283,"Je t'appelle plus tard, n'ai pas de réseau.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0284,Comment ça se fait?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0285,Oui:)ici la télévision est toujours disponible sur le lieu de travail..,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0286,Mais c'est sur ebay que ça pourrait être moins ailleurs.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0287,"Urgent! S'il vous plaît appelez 09066612661 de votre ligne fixe, votre 4* Lux Costa Del Sol vacances ou £1000 CASH attendent la collection. ppm 150 SAE T&Cs James 28, EH74RR",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0288,URGENT! Nous essayons de contacter U. Todays draw montre que vous avez gagné un prix de £800 GUARANTIEED. Appelez 09050001808 de la ligne terrestre.,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0289,"Je ne sais pas si la méga boutique d'Asda compte pour la fête, mais c'est ce que je fais!",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0290,Et vous! Vous attendra quand vous textez! Espérons que tout va bien tomo,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0291,Le solde de trésorerie d'Ur est actuellement de 500 livres - pour maximiser l'encaissement d'Ur maintenant envoyer GO à 86688 seulement 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0292,Je ne sais pas u et u ne me connaissent pas. Envoyer CHAT à 86688 maintenant et nous allons nous trouver! Seulement 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 ans ou plus.,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0293,Votre identifiant utilisateur unique est 1172. Pour la suppression envoyer STOP à 87239 services à la clientèle 08708034412,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0294,U sont abonnés au meilleur service de contenu mobile au Royaume-Uni pour £3 par dix jours jusqu'à ce que vous envoyez STOP à 83435. Helpline 08706091795.,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0295,"Merci pour votre commande de sonnerie, numéro de référence X29. Votre mobile sera facturé 4.50. Si votre ton n'arrive pas, veuillez appeler le service clientèle 09065989180",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0296,"URGENT!: Votre Mobile No. a reçu un prix Bonus Caller de £2,000 le 02/09/03! C'est notre 2e tentative de vous contacter! Appelez 0871-872-9755 BOX95QU",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0297,Vous avez 1 nouveau message. S'il vous plaît appelez le 08718738034.,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0298,Pour participer à notre enquête mobile hier! Vous pouvez maintenant avoir 500 textes 2 utiliser comme vous le souhaitez. 2 obtenir txts juste envoyer TXT à 80160 T&C www.txt43.com 1.50p,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0299,Lol boo J'espérais un rire,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0300,Félicitations! Traitez pendant.Je ne suis pas sur la poste pendant 2 jours.ll mail une fois par l'intermédiaire de.Respect mère à la maison.check mails.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0301,Ü tous écrire ou wat..,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0302,Téléphones vidéo gratuits avec ligne de Half Price location pour 12 mths et 500 cross ntwk mins 100 txts. Appelez MobileUpd8 08001950382 ou Call2Out/674,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0303,"HOT LIVE FANTASIES appelez maintenant 08707500020 Juste 20p par min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 est un appel à tarifs nationaux",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0304,WIN URGENT! Votre numéro mobile a été attribué avec un prix de £2000 GUARANTIED appel 09061790121 de la ligne terrestre. réclamation 3030 valide 12hrs seulement 150ppm,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0305,Cher 0776xxxxxx U've ont été invités à XCHAT. C'est notre dernière tentative de contacter u! Txt CHAT à 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18ans,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0306,Il reste un frère parmi les frères.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0307,"FreeMsg Hey U, je viens d'obtenir 1 de ces fones vidéo/pic, répondre WILD à ce txt & mal envoyer U mes photos, dépêchez-vous Im tellement ennuyé au travail xxx (18 150p/rcvd STOP2stop)",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0308,"C'est la 2ème fois que nous avons essayé de contacter u. U ont gagné le prix £400. 2 réclamation est facile, il suffit d'appeler 087104711148 MAINTENANT! Seulement 10p par minute.",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0309,URGENT! Nous essayons de vous contacter. Le tirage du week-end dernier montre que vous avez gagné un prix de £900 GUARANTIE. Appelez 09061701939.,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0310,Prends soin de toi aussi.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0311,Beaucoup mieux maintenant merci lol,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0312,Comme si je voulais une réduction de l'agent des douanes oh.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0313,HIYA STU WOT U U UP 2.IM dans tellement de TRUBLE à la maison à MOMENT EVONE me hait même U! WOT LE SELL AV que j'ai fait maintenant? Vous voulez juste me dire TEXTE BCK PLEase LUV DAN,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0314,Bonjour mon petit jouet. Comment se passe cette promenade ici et là jour? Avez-vous obtenu ce résumé de la police? Êtes-vous toujours dehors et environ? Je me réveille et vous manquez bébé,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0315,S'il vous plaît APPELEZ 08712402779 immédiatement car il y a un message urgent vous attendant,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0316,"Si tard, mais j'ai besoin d'aller chercher l'ordinateur portable...",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0317,"Il est impossible de discuter avec et il me traite toujours comme son sous-marin, comme il ne m'a jamais libéré... Ce qu'il a fait et je lui rappellerai cela si nécessaire",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0318,"Si vous pensez me soulever, alors non.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0319,"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership compétences r strong. Psychique? Répondre ANS w/question. Fin? Répondre END JSCO",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0320,Doublez vos mins & txts sur Orange ou 1/2 prix lineral - Motorola et SonyEricsson avec B/Toth FREE-Nokia Call MobileUpd8 sur 08000839402 ou2optout/HV9D,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0321,Est-ce que les changements 2 da rapport grand? Parce que j'ai déjà fait des changements 2 da rapport précédent.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0322,"Je tire beaucoup, alors préparez-vous!",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0323,Décembre seulement! Avait votre mobile 11mths+? Vous avez le droit de mettre à jour la dernière caméra couleur mobile gratuitement! Appelez la Mobile Update VCo GRATUIT au 08002986906,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0324,"Wan2 gagne un Meet+Greet avec Westlife 4 U ou un m8? Ils sont actuellement sur quelle tournée? 1)Unbreakable, 2)Untamed, 3)Unkempt. Texte 1,2 ou 3 à 83049. Coût 50p +std texte",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0325,want real doggin locations envoyés directement à votre mobile? rejoindre le plus grand réseau de levrette au Royaume-Uni. chiens txt à 69696 maintenant!nyt. ec2a. 3lp £1.50/msg.,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0326,Gratuit Msg: Ringtone!De: http://tms. largelive.com/index. wml?id=1b6a5ecef91ff9*37819&first=true18:0430-JUL-05,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0327,Nos dossiers indiquent u peut-être droit à 5000 livres d'indemnisation pour l'accident que vous avez eu. Pour réclamer 4 réponse gratuite avec CLAIM à ce msg. 2 arrêt txt STOP,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0328,Je ne serai pas en cours dans quelques heures.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0329,"FreeMsg Pourquoi n'avez-vous pas répondu à mon texto? Je suis Randy, sexy, féminine et en direct local. Luv à entendre de u. Netcollex Ltd 08700621170150p par msg reply Stop to end",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0330,Probablement plus tôt que ça si la station est là où je pense qu'elle est,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0331,No. 1 Nokia Tone 4 ur maf chaque semaine! Il suffit de txt NOK à 87021. 1er Tone GRATUIT! donc obtenez txtin maintenant et dites à vos amis. 150p/ton. 16 réponse HL 4info,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0332,"D'autant plus que je parle de boston dans ma déclaration personnelle, lol! J'aurais changé ça si j'avais réalisé que ça disait nyc! Ça dit boston maintenant.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0333,"Oui, celui-là est lent comme du caca.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0334,"TheMob>Hit le lien pour obtenir un jeu Pink Panther premium, le nouveau no. 1 de Sugababes, une animation Zèbre folle ou un badass fonds d'écran Hoody-all 4 GRATUIT!",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0335,U ont un admirateur secret qui cherche 2 faire contact avec U-find qui ils R*revel qui pense UR si spécial-appel sur 09058094594,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0336,Devinez quoi! Quelqu'un que vous connaissez secrètement vous! Vous voulez savoir qui c'est? Appelez-nous sur 09065394973 de Landline DATEBox1282EssexCM61XN 150p/min 18,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0337,Dude avatar 3d était imp. A un moment je pensais qu'il y avait des mouches dans la pièce et presque essayé de frapper un comme un réflexe,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0338,Voulez-vous un nouveau Nokia 3510i couleur téléphone livré demain? Avec 200 minutes gratuit à n'importe quel mobile + 100 texte gratuit + caméscope gratuit Répondre ou téléphoner 08000930705,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0339,Si j'ai dit quelque chose de mal désolé de:-),0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0340,Je pense que Steve a sûrement un guichet :),0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0341,"Avez-vous remarqué que quand vous conduisez, quelqu'un va plus lentement que vous est un idiot et tout le monde conduit plus vite que vous est un maniaque?",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0342,"Fantasy Football est de retour sur votre TV. Aller à Sky Gamestar sur Sky Active et jouer £250k Dream Team. La notation commence le samedi, alors inscrivez-vous maintenant!",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0343,Tu crois que je pourrais passer dans une heure?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0344,"Dernière Nokia Mobile ou iPOD MP3 Player +£400 proze GARANTIED! Répondre avec: WIN à 83355 maintenant! Norcorp Ltd. £1,50/Mtmsgrcvd18+",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0345,Wot est en haut de 2 alors salope?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0346,"Je pense qu'on va aller chez Finn maintenant, viens",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0347,Wylie mise à jour: mon concessionnaire de mauvaises herbes carlos est allé à la liberté et a eu une classe avec Lunsford,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0348,"Oui, donc je partirai peut-être 7h?",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0349,Someonone que vous connaissez essaie de vous contacter via notre service de rencontres! Pour savoir qui il pourrait être appelé de votre mobile ou ligne fixe 09064015307 BOX334SK38ch,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0350,"Bonjour. Wk a été ok - sur Hols maintenant! Oui sur un peu de course. J'ai oublié que j'ai rendez-vous des coiffeurs à quatre, donc besoin de rentrer à la maison n douche à l'avance. Est-ce que cela cause problème pour u?""",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0351,"Urgent! S'il vous plaît appelez le 0906346330. Votre ABTA gratuit 4* vacances espagnoles ou £10,000 en espèces attendent la collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0352,"Appelez le 09094100151 pour utiliser les minutes! Appels moulés 10p/min (mob varient). Service fourni par AOM, seulement GBP5/mois. AOM Box61,M60 1ER jusqu'à l'arrêt.",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0353,"pdate_Now - Double mins et 1000 txts sur les tarifs orange. Derniers Motorola, SonyEricsson & Nokia & Bluetooth GRATUIT! Appelez MobileUpd8 au 08000839402 ou call2optout/!YHL",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0354,Vous avez déjà pensé à vivre une bonne vie avec un partenaire parfait? Juste txt retour NOM et AGE pour rejoindre la communauté mobile. (100p/SMS),1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0355,"Lol, oh tu as un ami pour le chien?",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0356,"URGENT! Votre mobile Non a reçu un prix Bonus Caller de £2,000 le 1/08/03! C'est notre 2e tentative de vous contacter! Appelez 0871-4719-523 BOX95QU Tarif National",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0357,J'adore travailler à la maison :),0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0358,Je n'ai pas été là avant... tu veux aller au yoga?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0359,"Vous avez ce qu'il faut pour 2 participer au WRC à Oz? U can avec Lucozade Energy! Texte RALLY LE à 61200 (25p), voir packs ou lucozade.co.uk/wrc & itcould be u!",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0360,CLAIRE here am havin borin time & am nowly U want cum over 2nite? Chatez maintenant 09099725823 espoir 2 C U Luv CLAIRE xx Appels£1/minmoremobsEMSPOBox45PO139WA,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0361,"tous les derniers de Stereophonics, Marley, Dizzee Racal, Libertines et The Strokes! Win Nookii jeux avec Flirt!! Cliquez sur TheMob WAP Signet ou texte WAP à 82468",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0362,87077: Démarrage d'une nouvelle saison avec 2wks objectifs gratuits & nouvelles pour ur mobile! Txt ur nom club à 87077 par exemple VILLA à 87077,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0363,PRIVÉ! Votre relevé de compte de 2003 pour 07815296484 indique 800 points S.I.M. non revus. Appelez le 08718738001 Code d'identification 41782 Expire 18/11/04,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0364,GENT! Nous essayons de vous contacter. Le tirage du week-end dernier montre que vous avez gagné un prix de £1000 GARANTIE. Appelez 09064012160. Code de réclamation K52. Valable 12hs seulement. 150ppm,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0365,Lol tu ne te sentiras pas mal quand j'utiliserai son argent pour t'emmener à un dîner de steak =D,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0366,Il y en a qui trouvent trop loin... Weiyi ne va pas... e repos i dunno encore... R ur goin 4 dinner den je pourrais me joindre...,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0367,Nous avons essayé de vous contacter re votre réponse à notre offre de Video Handset? 750 anytime networks mins? ILLIMITED TEXTE? Caméscope? Répondre ou téléphoner 08000930705 MAINTENANT,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0368,Ça vous dérange si je vous demande ce qui s'est passé?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0369,Je suis sûr qu'ils vont comprendre ça! Le vin * bonne idée vient d'avoir une limace!,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0370,"Double Mins & 1000 txts sur les tarifs orange. Derniers Motorola, SonyEricsson & Nokia avec Bluetooth GRATUIT! Appelez MobileUpd8 au 08000839402 ou call2optout/HF8",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0371,"Hey Garçons. Voulez-vous hot XXX photos envoyé directement 2 ur téléphone? Txt PORN à 69855, 24Hrs gratuit et puis seulement 50p par jour. Pour arrêter le texte STOPBCM SF WC1N3XX",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0372,Vous avez WON un montant garanti de £1000 cash ou un prix £2000. Pour réclamer le prix yr appelez notre représentant du service à la clientèle au 08714712412 entre 10h et 19h Coût 10p,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0373,"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Vacances d'une valeur de £350! Composez le 08712300220 à réclamer - National Tarif Call. Bx526, SW73SS",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0374,"Merci pour votre commande de sonnerie, numéro de référence X49. Votre mobile sera facturé 4.50. Si votre ton n'arrive pas, veuillez appeler le service clientèle 09065989182. de: [colour=red]text[/colour]TXTstar",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0375,Que voulez-vous pour Xmas? Que diriez-vous de 100 SMS gratuits et un nouveau téléphone vidéo à moitié prix de location de ligne? Appelez gratuitement au 0800 0721072 pour en savoir plus!,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0376,"Télécharger autant de sonneries que u comme aucune restriction, 1000s 2 choisir. U peut même envoyer 2 ans de copains. Txt Sir à 80082 £3",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0377,URGENT! Nous essayons de contacter U. Todays draw montre que vous avez gagné un prix de £800 GUARANTIEED. Appelez 09050003091 de la ligne terrestre.,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0378,"Bonjour, mon petit jouet! J'ai fait la maison et ma pensée constante est de vous, mon amour. J'espère que vous avez une belle visite, mais je ne peux pas attendre que vous rentrez à la maison à moi...*kiss*",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0379,4mths moitié prix Orange ligne location & dernière caméra téléphones 4 GRATUIT. Avait votre téléphone 11mths+? Appelez MobilesDirect gratuitement le 08000938767 à mettre à jour maintenant! ou2stoptxt T&Cs,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0380,Et comment va votre mari.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0381,Entrée libre dans 2 a wkly comp pour gagner FA Cup final tkts 21 mai 2005. Texte FA à 87121 pour recevoir la question d'entrée(std txt rate)T&C's appliquer 08452810075over18's,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0382,Je me suis couché peu de temps après t'avoir parlé. Je me suis réveillée à 7 h. Comment s'est passée ta nuit?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0383,Vous avez gagné un prix garanti de 32000 ou peut-être même £1000 cash pour réclamer l'appel de l'ur adjudicataire gratuit le 0800..... (18+). Son un numéro légitime efreefone wat u pensez-vous??,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0384,PRIVÉ! Votre relevé de compte 2003 pour 078,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0385,"Meilleur msg: C'est difficile d'être avec une personne, quand u savez qu'un pas de plus foward fera u tomber dans l'amour.. &amp; Un pas en arrière peut ruiner l'amitié ur.. bonne nuit:-)...",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0386,Mais on n'a pas encore le sujet du rite?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0387,C'est une partie du contrôle du QI,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0388,"En fin de compte, le motif de tor tui atteint le korli.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0389,URGENT! Votre numéro mobile a été attribué avec un prix Bonus Caller £2000. Appelez le 09058095201 à partir de la ligne terrestre. Valable 12hs seulement,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0390,UR a décerné une City Break et pourrait WIN une £200 Summer Shopping spree chaque WK. Txt STORE à 88039. SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0391,"Bienvenue au Royaume-Uni-mobile-date ce msg est gratuit vous donnant appel gratuit au 08719839835. Les mgs futurs facturés à 150p par jour. Pour annuler envoyer ""go stop"" à 89123",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0392,S...i prendra les joueurs de mokka seulement:),0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0393,"Rock yr chik. Obtenez 100's de films sales & XXX photos sur téléphone maintenant. rply FILTH à 69669. Saristar Ltd, E14 9YT 08701752560. 450p par 5 jours. Stop2 annuler",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0394,Je peux tous décider plus vite parce que ma soeur rentre chez moi..,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0395,"Désolé da quegam, je suis très désolé d'être retenu par le prasad.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0396,"Tu ne peux pas me lire, mon amour?",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0397,Hey Je suis vraiment excité vouloir discuter ou me voir texte nu chaud à 69698 texte chargé à 150pm pour se désabonner text stop 69698,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0398,Appelez FREEFONE 08006344447 pour réclamer votre cadeau garanti de £1000 CASH ou £2000. Parlez à un opérateur en direct MAINTENANT!,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0399,URGENT! Votre numéro mobile a été attribué avec un prix de £2000 GARANTIED. Appelez 09058094455 à partir de la ligne terrestre. Réclamation 3030. Valable 12h seulement,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0400,Oups. 4 a eu ce morceau.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0401,"HELLOGORGEE, HOWS U? Mon père était sur le charge le plus NITW WEN U TEXD ME. HOPEU a fait un NICE WKEND comme si j'étais sûr que U DID LOOKIN 4WARD 2 C-IN U 2MRW LUV JAZ",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0402,Voulez-vous un nouveau combiné vidéo? 750 any time any network mins? ILLIMITED TEXT? Caméscope? Répondez ou appelez maintenant 08000930705 for del Sat AM,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0403,Vous avez WON un montant garanti de 1000 £ en espèces ou un prix de 2000 £.Pour réclamer un prix d'année appelez notre représentant du service à la clientèle sur,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0404,Célébrations en plein essor?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0405,"Obtenez 3 Lions Angleterre ton, réponse lionm 4 mono ou lionp 4 poly. 4 plus go 2 www.ringtones.co.uk, le meilleur n original. Tones 3GBP tarifs d'opérateur de réseau s'appliquent",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0406,"Romantique Paris. 2 nuits, 2 vols à partir de £79 Réservez maintenant 4 l'année prochaine. Appelez le 08704439680Ts&Cs s'appliquent.",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0407,Peut-être devriez-vous trouver autre chose à faire à la place??,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0408,Je n'ai pas encore ajouté ü juste..,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0409,LE BIRD + ANTELOPE BEGIN TOPLAY DANS LE DOMAINE DE L'AUTINDÉPENDANCE CONVIENNENT CE + LE FLEUR DE LA CONTENTION COMMANDERA RANDOM!,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0410,Je n'ai commencé qu'après avoir envoyé un texto pour parler de radio sportive la semaine dernière. Vous pensez qu'il y a une connexion ou une coïncidence?,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0411,Ouais pas de problème - la nuit dernière est évidemment en train de vous rattraper... Parlez bientôt,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0412,Adulte 18 Contenu Votre vidéo sera bientôt avec vous,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0413,"Je n'arrive pas à réparer cette seconde, je dois frapper les gens d'abord.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0414,Pas de nouvelles de U4 un moment. Appelez-moi maintenant je suis ici toute la nuit avec juste mes culottes. Faites-moi supplier pour cela comme U a fait la dernière fois 01223585236 XX Luv Nikiyu4.net,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0415,"Si vous allez m'appeler, appelez-moi.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0416,ROMCAPspam Tout le monde autour devrait bien répondre à votre présence puisque vous êtes si chaud et sortant. Vous apportez un vrai souffle de soleil.,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0417,Plus de gens sont en levrette dans votre région maintenant. Appelez le 09090204448 et rejoignez comme les gars pensés. Pourquoi ne pas organiser 1 vous-même. Il y a 1 ce soir. A£1.50 minAPN LS278BB,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0418,Urgent! S'il vous plaît appelez 09061743810 de la ligne fixe. Votre ABTA gratuit 4* Tenerife Holiday ou #5000 argent en attente de la collection SAE T&Cs Box 326 CW25WX 150 ppm,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0419,sexy sperme sexy et text me im humide et chaud et prêt pour un peu de porno! u up pour un peu de plaisir? CE MSG EST GRATUIT RECD MGS 150P INC VAT 2 ANNULER TEXTE STOP,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0420,"Alors ne rentre pas à la maison, je mange des nachos.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0421,"Venez, c'est...",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0422,JADE SON PAUL. Vous m'avez dit qu'il fallait me rappeler de BARMED?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0423,Je n'arrive pas à penser à quelqu'un avec une chambre libre,0,normal,SpamShield 真实数据（CC-BY-4.0）
