编号,原文（法语）,类型,伪装对象,诈骗手法,判定依据,是否钓鱼,来源,备注
示例87,"De : support@gouvfrance.info
Objet : Suite à une Fraude Identifiée

M. XXXX XXXX

Je me permets de vous contacter en tant que expert contre la fraude pour CyberMalveillance, un service soutenu par le gouvernement français et dédié à l'accompagnement des victimes de cyberfraudes.
Notre site d'internet : https://www.cybermalveillance.gouv.fr/
Il semblerait que vous ayez été victime d'une arnaque en ligne. Nous souhaitons vous apporter notre aide pour résoudre cette situation et récupérer vos fonds, dans la mesure du possible. Afin d'avancer sur votre dossier, nous avons besoin de quelques informations supplémentaires.
Je vous prie de bien vouloir remplir les documents que je vous ai envoyés en pièce jointe, les signer et me les renvoyer par email dans les plus brefs délais. Ces informations sont essentielles pour que nous puissions continuer à vous aider efficacement.
Si vous avez des preuves supplémentaires concernant l'incident, telles que des emails suspects, des relevés bancaires ou toute autre pièce justificatif, merci de bien vouloir nous les transmettre afin que nous puissions les analyser et mettre en place les démarches nécessaires.
Nous restons à votre disposition pour toute question complémentaire et vous tiendrons informée de l'avancement de votre dossier.
Dans l'attente de vos documents, je vous prie d'agréer, XXXX XXXX, l'expression de mes salutations distinguées.
Cordialement,
David Devaux
Agent Cyber Malveillance
Cybermalveillance.gouv.fr",邮件,Cybermalveillance.gouv.fr,冒充Cybermalveillance.govfr反欺诈专家，以赔偿受害者损失为由要求填写并回传附件表格，骗取个人及银行信息,发件人域名为gouvfrance.info而非gouv.fr，要求回传含银行信息的附件，典型赔偿诈骗,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/alerte-campagne-de-messages-frauduleux-usurpant-lidentite-de-cybermalveillance-gouv-fr-202412,A级官方来源；原文斜体引用
示例88,"Nous avons remarqué que votre parcours et votre CV ont été recommandés par plusieurs agences de recrutement en ligne, nous aimerions donc vous proposer un emploi à temps partiel que vous pourrez exercer pendant votre temps libre. Notre travail est simple : nous évaluons simplement vos hôtels préférés. Il n'y a pas de limite de temps et vous pouvez réaliser l'évaluation à domicile. Les salaires journaliers varient de 300 à 1 000 euros, tous les salaires sont payés le même jour. Si vous souhaitez participer, veuillez nous contacter via WhatsApp: +337XXXXXXXX",短信,无（虚假招聘）,以酒店评估兼职工作为诱饵，日薪300-1000欧元，诱导加WhatsApp联系，实为任务诈骗,日薪异常高且无需经验，诱导加WhatsApp联系，典型'任务诈骗'招工钓鱼,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/escroquerie-offres-emploi-operateur-marketing-internet,A级官方来源；原文斜体引用
示例89,"Bonjour! Nous avons remarqué que votre expérience professionnelle et votre CV ont été recommandés par plusieurs agences de recrutement en ligne. C'est pourquoi nous aimerions vous proposer un emploi à temps partiel que vous pourrez exercer pendant votre temps libre. Notre travail est simple : il vous suffit de consacrer 60 à 120 minutes par jour pour accomplir le travail. Il n'y a pas de limite de temps et vous pouvez réaliser l'évaluation à domicile. Les salaires journaliers varient de 100 $ à 1 000 $, tous payés le même jour. Si vous souhaitez participer, merci de nous contacter via WhatsApp : +wa.me/337XXXXXXXX",短信,无（虚假招聘）,以远程兼职评估工作为诱饵，日薪100-1000美元，诱导加WhatsApp联系，实为任务诈骗,以美元计价且日薪异常高，诱导加WhatsApp，典型招工钓鱼变体,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/escroquerie-offres-emploi-operateur-marketing-internet,A级官方来源；原文斜体引用；变体
示例90,"Bonjour, votre CV a ete approuve par notre societe, emploi en ligne a temps partiel, 60-2000EUR jour Pour plus d'informations veuillez contacter t.me/XXXX",短信,无（虚假招聘）,声称CV已通过审核，日薪60-2000欧元，诱导加Telegram联系,语法错误（'a ete approuve'），日薪范围夸张，诱导加Telegram，典型招工钓鱼,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/escroquerie-offres-emploi-operateur-marketing-internet,A级官方来源；原文斜体引用；变体
示例91,"En raison du développement des affaires et de l'expansion du marché, Flairwork a un besoin urgent d'un grand nombre de travailleurs à temps partiel. vteamwork.net ; Flair work
Introduisez de nouveaux amis pour rejoindre le travail, vous pourrez obtenir une prime de parrainage d'employé, 5USD par personne.",短信,Flairwork/vteamwork.net（虚假平台）,以Flairwork平台招聘为幌子，声称推荐好友可得5美元推荐奖金，实为传销式任务诈骗,虚假招聘平台域名vteamwork.net，推荐奖金模式，典型任务诈骗推广短信,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/escroquerie-offres-emploi-operateur-marketing-internet,A级官方来源；原文斜体引用
示例92,"Bonjour, vous êtes chez vous ?",短信,无（包裹配送钓鱼前奏）,仅发送问候短信试探是否有人回复，一旦回复后续将发送含恶意链接的包裹配送钓鱼短信,2025年夏大规模发送的自动化钓鱼前奏短信，用于绕过运营商防钓鱼链接过滤,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/hameconnage-phishing-ra26,A级官方来源；2025年新型自动化钓鱼短信
示例93,"AMENDES.GOUV : Veuillez noter que vous avez une amende de stationnement impayée. Pour éviter toute majoration, régularisez votre situation le plus rapidement possible en utilisant le lien ci-dessous",短信,Amendes.gouv.fr（法国罚单网站）,冒充罚单网站，声称有未缴停车罚款，要求尽快点击链接缴纳以免增加罚款,税务局官方明确指出DGFiP从不发送催缴短信，此为典型罚单钓鱼短信,是,https://www.impots.gouv.fr/actualite/attention-aux-arnaques,A级官方来源（impots.gouv.fr）；原文斜体引用
示例94,Assurance Maladie : Votre nouvelle carte vitale est disponible. Remplissez ce formulaire afin de rester couvert :…,短信,Assurance Maladie / Ameli（法国医保）,冒充医保机构，声称新医保卡已可用，诱导点击链接填写表格以获取个人及银行信息,医保官方明确从不要求通过链接更新医保卡，医保卡无有效期,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/hameconnage-assurance-maladie-ameli,A级官方来源；原文斜体引用
示例95,Ameli : Votre carte vitale arrive à expiration. Veuillez la mettre à jour sous 48h via :…,短信,Ameli（法国医保在线平台）,冒充Ameli，声称医保卡即将到期，要求48小时内通过链接更新,医保卡无有效期，不存在到期更新；制造紧迫感，典型smishing,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/hameconnage-assurance-maladie-ameli,A级官方来源；原文斜体引用；变体
示例96,"Info Ameli : Expiration de votre carte vitale, à mettre a jour impérativement…",短信,Ameli（法国医保在线平台）,冒充Ameli通知，声称医保卡到期必须更新，诱导点击恶意链接,医保卡无有效期；'Info Ameli'发件人格式不官方，语法错误（'a jour'）,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/hameconnage-assurance-maladie-ameli,A级官方来源；原文斜体引用；变体
示例97,ASSURANCE MALADIE : Renouvellement obligatoire de votre Carte Vitale à effectuer avant le…,短信,Assurance Maladie（法国医保）,冒充医保机构，声称医保卡必须更新，制造紧迫感诱导点击链接,医保卡无有效期且从不通过短信要求更新；'ASSURANCE MALADIE'大写冒充官方格式,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/hameconnage-assurance-maladie-ameli,A级官方来源；原文斜体引用；变体
示例98,"OBJET : AVIS DE NOTIFICATION FISCALE

La Direction générale des finances, représentée par Mr BERNARD POIRIER, chef du Service fédéral du contrôle financier, qui est responsable de la vérification des déclarations fiscales des contribuables et de la gestion des comptes publics, des recettes et des dépenses (fédérations, confédérations, communes fédérales , etc.) Vous envoie cet e-mail pour vous informer qu'il existe plusieurs accusations de fraude fiscale à votre encontre, notamment en relation avec :
– IMPOTS
– IMPÔTS SUR LA FORTUNE
– IMMOBILIER
– COTISATIONS DE SÉCURITÉ SOCIALE
– TAXES D'HABITATION ET TAXES FONCIERES
Vous avez effectivement commis cette évasion fiscale conformément aux dispositions des articles 156 à 168 du Code général des impôts. En conséquence, l'administration fiscale sanctionne toute personne qui ne paie pas ces impôts.
Cet avis porte sur le revenu net et total du contribuable, qui a été déclaré et non déclaré.
Après avis de la Commission des offensives fiscales, le Service fédéral des impôts prendra toutes les mesures nécessaires pour vous poursuivre et vous traduire en justice. Evidemment, vous risquez jusqu'à cinq ans de prison et une amende de 500 000 €, selon le consensus des lois fiscales allemandes.
A compter de cette notification, vous aurez 48 heures pour payer la somme de 7 108,00 € correspondant à votre imposition. A l'issue de ce délai, nous sommes dans l'obligation de transmettre votre dossier au commissaire-priseur afin que vos biens puissent être légalement saisis.
VEUILLEZ NOTER: Pour plus details concernant votre paiements veuillez transmettre votre lettre à l'adresse du bureau ci-dessous.",邮件,IGF / Direction générale des finances（法国财政总署）,冒充财政监察总局，指控受害者逃税，威胁48小时内缴纳7108欧元否则起诉和查封财产,引用'德国税法'等荒谬内容，要求48小时内付款至私人账户，真实税务检查从不通过邮件通知,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/escroquerie-accusation-fraude-fiscale,A级官方来源；原文斜体引用
示例99,"Objet : AVIS D'IMPÔT

Madame, Monsieur,
Nous, la Direction Générale des Finances, sous la demande de M. BRUNO ROUSSELET, Délégué du directeur général des finances publiques et sous la supervision générale de Madame MARIE-CHRISTINE LEPETIT chef de contrôle financier, s'occupe de la gestion financière et de la tenue de la comptabilité des fonds publics.
Elle contrôle également comme la recevabilité et la conformité des déclarations fiscales des contribuables, particuliers professionnels, afin de lutter contre les fraudes fiscales.
Cependant, nous vous informons qu'il existe plusieurs accusations de fraudes fiscales à votre encontre.
Affaire vous concernant :
– Impôt – impôt sur le Revenu (IR)
– La fiscalité du patrimoine – Impôt sur la fortune immobilière (IF)
– La taxe d'habitation, la taxe foncière, la contribution économique territoriale
Vous avez effectivement commis une infraction ou évasion fiscale, conformément aux dispositions de l'article 1741 du Code Général des Impôts (CGI) définit et sanctionne pénalement le délit général de fraude fiscale, en conséquence l'administration fiscale sanctionne toute personne qui ne règle pas ces impôts.
Cet avis porte sur le revenu net et total du contribuable qui a été déclaré et non-déclaré.
Le Service Fédéral des impôts prendra toute mesure nécessaire et importante pour vous traduire en justice, en plus des sanctions fiscales, vous risquez les 2 peines suivantes : 500 000 € d'amende et 5 ans d'emprisonnement.
Dès réception de cet avis d'impôt, vous avez un délai de 72 heures pour régler la somme de 4 819,00 € à votre imposition. Passé ce délai, nous serons dans l'obligation de transmettre votre dossier à la Commission des infractions fiscales afin que vos biens puissent être saisis légalement.
Veuillez-noter : nous attendons un accusé de réception ou votre message pour vous confirmer les références bancaires pour le paiement.
INFOS : Pour toute réponse, pour toute information, contactez-nous au mail suivant :
E-MAIL : publiquesfina***@gmail.com",邮件,DGFiP / Direction Générale des Finances（法国财政总署）,冒充财政总署，指控税务欺诈，威胁72小时内缴纳4819欧元否则查封财产，要求回复gmail邮箱获取银行信息,联系邮箱为gmail.com而非官方gouv.fr，要求72小时内付款，真实税务通知仅通过纸质挂号信寄送,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/escroquerie-accusation-fraude-fiscale,A级官方来源；原文斜体引用；变体
示例100,Vérification de vos coordonnées !,邮件,"法国各银行（La Banque Postale, Crédit Agricole, BNP Paribas等）",以'验证您的账户信息'为邮件主题，诱导点击链接更新银行账户信息,银行官方从不通过邮件要求验证账户信息；DSP2相关钓鱼主题行,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/hameconnage-bancaire-dsp2,A级官方来源；原文引号引用；主题行
示例101,Action obligatoire – Activation de sécurité,邮件,法国各银行,以'强制操作-激活安全设置'为主题，借DSP2指令名义诱导点击链接更新安全信息,制造紧迫感，银行从不通过邮件要求'强制激活'安全设置；DSP2钓鱼主题行,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/hameconnage-bancaire-dsp2,A级官方来源；原文引号引用；主题行；变体
示例102,Sécurité : Veuillez mettre à jour vos informations personnelles,邮件,法国各银行,以'安全：请更新您的个人信息'为主题，诱导点击钓鱼链接,银行从不通过邮件要求更新个人信息；DSP2钓鱼主题行变体,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/hameconnage-bancaire-dsp2,A级官方来源；原文引号引用；主题行；变体
示例103,"CRÉDIT AGRICOLE
Votre compte a été verrouillé, suivez ce lien pour débloquer vos accès: https://secure-creditagricole.fr
à bientôt, Crédit Agricole",短信,Crédit Agricole（农业信贷银行）,冒充农业信贷银行，声称账户已锁定，诱导点击钓鱼链接解锁,链接域名为secure-creditagricole.fr而非官方credit-agricole.fr，典型银行smishing,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/hameconnage-bancaire-dsp2,A级官方来源；原文截图引用
示例104,Nous avons besoin de vérifier tous les comptes des clients de BNP. http://www.m-banque-bnpparibas.net/,短信,BNP Paribas（法国巴黎银行）,冒充BNP银行，声称需要验证所有客户账户，诱导点击钓鱼链接,链接域名为m-banque-bnpparibas.net而非官方bnpparibas.com，典型银行smishing,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/hameconnage-bancaire-dsp2,A级官方来源；原文截图引用
示例105,"De : E-service Clients BRED <BRED_secureID9593.noreply@zwina.com>
Objet : Au sujet de la sécurité de votre compte! #Re-664366",邮件,BRED（法国银行）,冒充BRED银行客户服务，以账户安全为由发送钓鱼邮件,发件人域名为zwina.com而非BRED官方域名，典型银行钓鱼邮件头,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/hameconnage-bancaire-dsp2,A级官方来源；原文截图引用；邮件头/主题行
示例106,"de : ING DIRECT <csing@gmail.com>
objet : Sécurité Comptes Client",邮件,ING DIRECT（荷兰国际银行法国分部）,冒充ING Direct银行，以客户账户安全为由发送钓鱼邮件,发件人使用gmail.com而非ing.fr官方域名，典型银行钓鱼邮件头,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/hameconnage-bancaire-dsp2,A级官方来源；原文截图引用；邮件头/主题行
示例107,"Vous etes admissible a recevoir un remboursement d'impot. Veuillez le confirmer sur le lien suivant: https://tinyurl.com/DGFIP-076921
DGFIP
STOP 36034",短信,DGFiP（法国税务总局）,冒充税务总局，声称符合退税条件，诱导点击短链接确认退税,使用tinyurl短链接而非impots.gouv.fr，语法错误，税务总局从不通过短信通知退税,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/hameconnage-impots,A级官方来源；原文截图引用
示例108,"Bonjour,
Vous étiez en 2018 redevable de la taxe d'habitation sur votre résidence principale et vous êtes titulaire d'un contrat de mensualisation pour le paiement de celle-ci.
La réforme nationale de la taxe d'habitation permettra à 80% des foyers d'être exonérés de taxe d'habitation au titre de leur résidence principale au de bout de trois ans.
Dès 2018, 80% des foyers ont vu leur taxe d'habitation sur leur résidence principale diminuer de 30%. Aujourd'hui en 2019 la taxe d'habitation diminue de 65%.
Cette réforme concerne les foyers dont le revenu fiscal de référence n'excède pas une certaine limite fixée selon le nombre de parts du foyer de taxe d'habitation : par exemple, 27 000 € pour une personne seule, 35 000 € pour une personne seule avec un enfant, 43 000 € pour un couple sans enfant, 49 000 € pour un couple avec un enfant ou 55 000 € pour un couple avec deux enfants.
Si vous payez votre taxe d'habitation par mensualisation ou à l'échéance et que vous remplissez les conditions pour être exonéré, vous pouvez demander un remboursement des mois précédents et une réduction du montant que vous payez chaque mois ou par échéance.
En vue de cela vous pouvez prétendre au remboursement et à la réduction en remplissant correctement le formulaire en ligne de l'administration fiscale.
Cliquez ici pour remplir mon formulaire
Nous vous remercions de votre confiance.
La Direction générale des Finances publiques.",邮件,DGFiP（法国税务总局）,冒充税务总局，以住房税改革退税为诱饵，诱导点击链接填写在线表格,邮件中'Cliquez ici'链接指向钓鱼网站，税务总局从不通过邮件发送退税表格链接,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/hameconnage-impots,A级官方来源；原文截图引用
示例109,"Madame, Monsieur,
Notre service procède à une mise à jour générale des dossiers pour particuliers.
Pour celà nous vous prions de nous fournir vos documents personnels afin de les mettre dans votre dossier :
DOCUMENTS DEMANDES:
*Une copie conforme (scannée ou prise en photo) de votre pièce d'identité recto verso:",邮件,DGFiP（法国税务总局）,冒充税务总局，以更新个人档案为由，要求提供身份证正反面扫描件,税务总局从不通过邮件要求提供身份证扫描件；骗取身份信息用于后续诈骗,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/hameconnage-impots,A级官方来源；原文截图引用
示例110,"Crit'Air :
Nos agents ont constaté que votre véhicule n'était pas muni de la vignette règlementaire Crit'Air 2022 veuillez la récupérer sous peine de contravention dans les prochaines 48 h sur le lien ci-joint :",短信,Crit'Air / certificat-air.gouv.fr（法国环保贴纸）,冒充Crit'Air环保贴纸管理机构，声称车辆未贴合法贴纸，要求48小时内点击链接补办否则罚款,链接指向钓鱼网站，制造紧迫感和罚款威胁；官方仅通过certificat-air.gouv.fr办理,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/lhameconnage-a-la-vignette-critair,A级官方来源；原文截图引用；变体
示例111,"CRITAIR : Nos agents ont constaté que vous n'étiez pas munis de la vignette règlementaire, veuillez la récupérer via : support-critair.fr",短信,Crit'Air（法国环保贴纸）,冒充Crit'Air，声称车辆未贴贴纸，诱导点击钓鱼网站support-critair.fr,官方域名为certificat-air.gouv.fr，support-critair.fr为钓鱼域名,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/lhameconnage-a-la-vignette-critair,A级官方来源；原文截图引用；变体
示例112,"Obtenez votre vignette avant qu'elle ne disparaisse !
Soyez respectueux de l'environnement et contribuez à la qualité de l'air en ville en obtenant votre certificat qualité de l'air dès maintenant. C'est simple, rapide et cela nous permettra de mieux gérer la circulation et de réduire la pollution
Ensemble, faisons un pas de plus vers un environnement plus propre et plus sain pour tous.
Commander ma vignette
S'acquitter de ses droits et devoir contribue à préserver l'air que nous respirons. Cliquez sur le bouton ci-dessus pour obtenir votre certificat dès aujourd'hui et faire partie de la solution.",邮件,certificat-air.gouv.fr（法国环保贴纸官方网站）,仿冒官方Crit'Air网站邮件，以环保为由诱导点击'Commander ma vignette'按钮购买贴纸,邮件模仿官方certificat-air.gouv.fr视觉风格，但链接指向钓鱼网站；利用ZFE政策热点行骗,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/lhameconnage-a-la-vignette-critair,A级官方来源；原文截图引用
示例113,"Bonjour,
Nous vous informons que vous avez un remboursement en attente d'un montant de 169,20 € sur votre espace personnel.
La carte enregistrée sur votre espace personnel n'a pas été créditée pour le motif suivant :
Le numéro de mobile enregistré sur votre espace personnel ne correspond pas à celui associé à votre compte bancaire.
Détails de remboursement:
Référence : AWL-20/982KDJ
Montant: 169,20 €
Pour accepter le paiement rapide en ligne, cliquez sur le lien suivant et sélectionnez une méthode de remboursement.
Modifier mes informations personnelles.
Votre assurance maladie
18 5375 Boulevard de Vaugirard, 75015 Paris, France",邮件,Assurance Maladie / Ameli（法国医保）,冒充医保机构，声称有169.20欧元待退款，因手机号与银行账户不匹配，诱导点击链接修改个人信息,使用精确金额制造可信度，诱导点击链接输入个人和银行信息；医保从不通过邮件通知退款,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/hameconnage-assurance-maladie-ameli,A级官方来源；原文截图引用；变体
示例114,"Compte Ameli : Après la dernière vérification de votre dossier d'assurance maladie, nous avons déterminé que vous recevrez un remboursement de 509.90 euros. Veuillez remplir votre formulaire de remboursement et confirmez-le via le lien ci-dessous : https://bit.ly/...",短信,Ameli（法国医保在线平台）,冒充Ameli，声称医保审核后将退款509.90欧元，诱导点击短链接填写退款表格,使用bit.ly短链接，声称精确退款金额，医保从不通过短信通知退款,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/hameconnage-assurance-maladie-ameli,A级官方来源；原文截图引用
示例115,"Madame/Monsieur,
Dernier rappel avant suspension temporaire de vos droits au remboursement de la sécurité sociale AMELIE.
Le renouvellement de votre carte vitale est disponible dans votre espace client sur le lien ci-dessous:
https://mon-espace-assurance-maladie-renouvellement.fr
ASSURANCE MALADIE",短信,Assurance Maladie / Ameli（法国医保）,冒充医保机构，声称最后提醒否则临时暂停社保报销权利，诱导点击链接更新医保卡,域名mon-espace-assurance-maladie-renouvellement.fr为钓鱼域名；医保卡无有效期,是,https://www.ameli.fr/assure/droits-demarches/principes/attention-appels-courriels-sms-frauduleux,A级官方来源（ameli.fr）；原文截图引用
示例116,"AMELI: Dernière relance avant suspension de vos droits.
Le renouvellement de vos droits est disponible via:
https://service-santepublique-",短信,Ameli（法国医保在线平台）,冒充Ameli，声称最后催缴否则暂停权利，诱导点击钓鱼链接更新权利,链接域名service-santepublique-...非官方ameli.fr，制造暂停权利的紧迫感,是,https://www.ameli.fr/assure/droits-demarches/principes/attention-appels-courriels-sms-frauduleux,A级官方来源（ameli.fr）；原文截图引用；变体
示例117,"Assurance Maladie : Dernière relance pour le renouvellement de votre carte vitale, veuillez suivre les instructions via https://mon-espace-vitale.info
20/04/2024",短信,Assurance Maladie（法国医保）,冒充医保机构，最后催办医保卡更新，诱导点击mon-espace-vitale.info钓鱼网站,域名mon-espace-vitale.info非官方；官方医保卡无有效期，从不催办更新,是,https://www.ameli.fr/assure/droits-demarches/principes/attention-appels-courriels-sms-frauduleux,A级官方来源（ameli.fr）；原文截图引用；变体
示例118,"Chère(e) Cliente,
Pour obtenir votre nouvelle assurance vitale et ainsi assurer la prise en charge de vos frais de santé, veuillez renseigner certaines informations.
Pour ce faire, veuillez cliquer sur le bouton ci-dessous et suivre les instructions qui vous seront données.
Veuillez noter que sans cette confirmation, vos frais de ne seront plus couverts par votre ancienne assurance.
Cordialement
Obtenir ma carte",邮件,Assurance Maladie（法国医保）,冒充医保机构，以获取新医保卡为由要求填写信息，威胁不确认则旧保险不再报销,用语错误（'assurance vitale'而非'carte Vitale'，'assurance'而非'droits'），不专业的冒充邮件,是,https://www.ameli.fr/assure/droits-demarches/principes/attention-appels-courriels-sms-frauduleux,A级官方来源（ameli.fr）；原文截图引用
示例119,"Nous avons le plaisir de vous informer que vous faites partie du programme de la loterie transnationale prise 12 pays européens et 16 pays africains et Américains; Ce qui fait de votre ticket loterie la plus grande loterie internationale incluant toutes les devises monétaires. Votre adresse électronique attribuée un numéro de ticket 69475600545-721 Avec le numéro de série : 53525/12 Votre numéro de chance gagnant: 2-15-18-24-43-8-12, où vous vous avez la chance de gagner dans la 2ème catégorie.
Vous avez donc une sorte au profit de ce programme de la loterie transnationale dans le total de 860.000€ (Huit Cent Soixante Mille Euros) en liquidatif un fichier MYG/503/54/78. La cagnotte totale de 12.5 millions d'euros a été partagée (22) vingt-deux premiers gagnants dans cette catégorie. Notez que vous vous plaît que dans le cas de votre part dans le but de retirer la totalité de ces gains.
Par ailleurs, une couverture de votre numéro de chance gagnant a été souscrite le 10/09/2020 qui par la banque à Londres, la société commerciale ou non pas de virements bancaires à Londres. L'ensemble économique la plus haute commission pour toute la licence à travers la loterie dans le monde entier et le non de toute les plateformes pour les actions.
Pour rentrer en possession de votre gain, votre agent est votre en charge de l'ordre de votre FR-LR8717, et seront prêts à vous aider à recevoir les fonds. Ceci en raison pour un virement bancaire ou par un envoi par valise diplomatique sur votre compte bancaire soit par la voie postale en France.
Pour être en possession de votre gain, vous devez prendre contact avec l'Notaire JACQUES BENOITZINGER, dont le numéro du portable vous sera envoyé par votre compte dans le but de le contacter en vue de la remise des fonds.
Email : notaire.benoitzinger.benoit@gmail.com
FORMULAIRE GAGNANT FRANÇAISE DES JEUX",邮件,Française des Jeux (FDJ) / 法国彩票,冒充法国彩票FDJ，声称中了86万欧元大奖，要求联系gmail邮箱的假公证人领取奖金,联系邮箱为gmail.com而非官方lfdj.com，要求联系'公证人'，彩票中奖者需自行兑奖且从不支付手续费,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/escroqueries-a-la-loterie,A级官方来源；原文截图引用
示例120,"La méga millions, société de gestion des opérations internationales, et ses partenaires, sont heureux de vous informer que l'un des tickets de votre boîte e-mail a gagné des millions d'euros dans le tirage mega jackpot(xl) qui s'est tenue le 30 septembre 2020.
Votre adresse e-mail attachée au numéro de série 755617220 a tiré les numéros chanceux 5-13-33-37-42, qui vous ont fait la partie de gagner la somme de 650 000€ (six cent cinquante mille euros), crédité au fichier G887/1/L/PRC.
Vous êtes prié de contacter l'agent de réclamation de gain au plus tôt dans les 10 jours ouvrés suivant la notification de ce courrier. Tout non réclamé sera considéré comme abandonné.
CONTACTEZ VOTRE AGENT DE REVENDICATION DE GAIN
Nom: Mme GARY VANGOUTARY
EMAIL: gary.vangoutary@gmail.com
Réclamez votre prix et ouvrez une plateforme de compte de confidentialité et notre protocole de sécurité, et dites-lui immédiatement tous vos détails, numéro de compte bancaire, afin que votre conseiller Mr. MSW/DECE/AX/20.",邮件,Mega Millions（美国兆彩彩票）,冒充美国Mega Millions彩票，声称中了65万欧元，要求10个工作日内联系gmail邮箱的假代理人领奖,联系邮箱为gmail.com，法国居民不可能中美国Mega Millions，要求提供银行账号信息,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/escroqueries-a-la-loterie,A级官方来源；原文截图引用
示例121,"Info ANTAI :
Vous avez un retard de paiement de 68,00€, dossier référence 20023099.
Consulter mon dossier d'infraction via : https://antai-amendes-gouv.org/",短信,ANTAI / Amendes.gouv.fr（法国交通罚单管理局）,冒充ANTAI罚单管理局，声称有68欧元滞纳金，诱导点击antai-amendes-gouv.org钓鱼网站,域名为antai-amendes-gouv.org而非官方antai.gouv.fr或amendes.gouv.fr，典型罚单钓鱼短信,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/hameconnage-phishing-menace-predominante-tous-publics,A级官方来源；原文截图引用
示例122,"Il ne s'agit pas d'une blague ou d'un canular, encore moins d'une plaisanterie. Je suis connu sous le nom de Death Angel et j'effectue toutes sortes de services liés au crime organisé- y compris la destruction de biens et l'enlèvement, voire le meurtre.
Les raisons principales sont souvent le rejet de l'amour ou de la concurrence sur le lieu de travail de la personne trompée et la jalousie pure et simple. Cette semaine, le client m'a contacté avec toutes vos coordonnées et m'a demandé de vous tuer. Ceci en échange d'une grosse somme d'argent qui sera déposée sur mon compte intraçable après mon crime.
Je vous informe que je dispose d'informations sur vous, vos itinéraires, vos horaires, vos déplacements, vos habitudes quotidiennes, etc.
Vous avez donc la possibilité de me proposer de ne rien faire. Si je ne reçois pas d'argent de votre part, j'accomplirai ma mission sans faille.
Si vous voulez coopérer, en plus de mon inaction, je vous donnerai toutes les informations sur le client et la raison pour laquelle cette personne en a après vous.
PS ... Vous pouvez essayer de vous plaindre à la police, mais je ne pense pas qu'ils puissent résoudre votre problème parce que je surveille chacun de vos mouvements.
Envoyez un courriel à [email protégé]@gmail.com
Vous avez 48 heures pour prendre une décision.
L'ange de la mort",邮件,无（自称Death Angel职业杀手）,自称'Death Angel'杀手，声称已受雇杀害受害者，要求48小时内付费取消合同,声称掌握受害者行踪，联系邮箱为gmail.com，48小时时限威胁，典型大规模杀手勒索邮件,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/campagnes-de-messages-darnaque-au-tueur-a-gages,A级官方来源；原文截图引用
示例123,"De : Direction Générale des finances publiques <service@dgfip-impots.com>
Objet : Documents nécessaires pour compléter votre dossier",邮件,DGFiP（法国税务总局）,冒充税务总局发送邮件，主题为'完善档案所需文件'，骗取个人文件,发件人域名为dgfip-impots.com而非官方dgfip.finances.gouv.fr，典型税务钓鱼邮件头,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/hameconnage-impots,A级官方来源；原文截图引用；邮件头/主题行
